wavelength,energy,GaAs,Ag mirror,Active region
1300,0.95551499,1.1638463e-07,0.083266372,1.1638463e-07
1299,0.95625,1.3708415e-07,0.077876272,1.3708415e-07
1298,0.95698614,1.5601937e-07,0.07262991,1.5601937e-07
1297,0.95772342,1.7192181e-07,0.067542526,1.7192181e-07
1296,0.95846184,1.8500387e-07,0.062699303,1.8500387e-07
1295,0.95920139,1.9554662e-07,0.058143822,1.9554662e-07
1294,0.95994208,2.0384512e-07,0.053905993,2.0384512e-07
1293,0.96068393,2.1020204e-07,0.049995138,2.1020204e-07
1292,0.96142691,2.1489382e-07,0.046402748,2.1489382e-07
1291,0.96217105,2.1817979e-07,0.04311941,2.1817979e-07
1290,0.96291634,2.2028096e-07,0.040123835,2.2028096e-07
1289,0.96366279,2.2139771e-07,0.037396765,2.2139771e-07
1288,0.9644104,2.2169274e-07,0.034918859,2.2169274e-07
1287,0.96515916,2.2131293e-07,0.032664714,2.2131293e-07
1286,0.96590909,2.203728e-07,0.030617421,2.203728e-07
1285,0.96666019,2.1897651e-07,0.028754088,2.1897651e-07
1284,0.96741245,2.1720236e-07,0.027060103,2.1720236e-07
1283,0.96816589,2.1512102e-07,0.025517375,2.1512102e-07
1282,0.9689205,2.1279069e-07,0.024109652,2.1279069e-07
1281,0.96967629,2.1025364e-07,0.022826348,2.1025364e-07
1280,0.97043326,2.0755113e-07,0.021653704,2.0755113e-07
1279,0.97119141,2.0471055e-07,0.020580489,2.0471055e-07
1278,0.97195074,2.0175947e-07,0.019598504,2.0175947e-07
1277,0.97271127,1.9871465e-07,0.018698621,1.9871465e-07
1276,0.97347298,1.9559311e-07,0.017872903,1.9559311e-07
1275,0.97423589,1.9240927e-07,0.017114036,1.9240927e-07
1274,0.975,1.8916603e-07,0.016416275,1.8916603e-07
1273,0.97576531,1.8587582e-07,0.015774592,1.8587582e-07
1272,0.97653181,1.8253961e-07,0.01518398,1.8253961e-07
1271,0.97729953,1.7916202e-07,0.014639649,1.7916202e-07
1270,0.97806845,1.7574197e-07,0.014138132,1.7574197e-07
1269,0.97883858,1.7228084e-07,0.013675524,1.7228084e-07
1268,0.97960993,1.6877511e-07,0.01324912,1.6877511e-07
1267,0.98038249,1.6522278e-07,0.012855919,1.6522278e-07
1266,0.98115627,1.6162057e-07,0.012493223,1.6162057e-07
1265,0.98193128,1.5796214e-07,0.012159182,1.5796214e-07
1264,0.98270751,1.5424233e-07,0.011851585,1.5424233e-07
1263,0.98348497,1.5045381e-07,0.01156882,1.5045381e-07
1262,0.98426366,1.4659095e-07,0.011308513,1.4659095e-07
1261,0.98504358,1.4264252e-07,0.011070162,1.4264252e-07
1260,0.98582474,1.3860035e-07,0.010852431,1.3860035e-07
1259,0.98660714,1.3445312e-07,0.010653481,1.3445312e-07
1258,0.98739079,1.3018995e-07,0.010472443,1.3018995e-07
1257,0.98817568,1.2579746e-07,0.01030877,1.2579746e-07
1256,0.98896181,1.2126209e-07,0.010161959,1.2126209e-07
1255,0.9897492,1.1656894e-07,0.010030128,1.1656894e-07
1254,0.99053785,1.1170094e-07,0.0099135172,1.1170094e-07
1253,0.99132775,1.0664021e-07,0.0098118848,1.0664021e-07
1252,0.99211891,1.0136716e-07,0.0097236346,1.0136716e-07
1251,0.99291134,9.5859835e-08,0.0096492302,9.5859835e-08
1250,0.99370504,9.0094696e-08,0.0095886482,9.0094696e-08
1249,0.9945,8.4045907e-08,0.0095405259,8.4045907e-08
1248,0.99529624,7.7684816e-08,0.0095059949,7.7684816e-08
1247,0.99609375,7.0980272e-08,0.0094838335,7.0980272e-08
1246,0.99689254,6.3897873e-08,0.0094747429,6.3897873e-08
1245,0.99769262,5.6399713e-08,0.009478195,5.6399713e-08
1244,0.99849398,4.8443993e-08,0.009495026,4.8443993e-08
1243,0.99929662,3.9984547e-08,0.0095249313,3.9984547e-08
1242,1.0001006,3.0970257e-08,0.0095674693,3.0970257e-08
1241,1.0009058,2.1344503e-08,0.009624282,2.1344503e-08
1240,1.0017123,1.1044399e-08,0.0096950834,1.1044399e-08
1239,1.0025202,-6.4184769e-17,0.0097801253,-6.4184769e-17
1238,1.0033293,-1.185611e-08,0.0098798826,-1.185611e-08
1237,1.0041397,-2.4557601e-08,0.009995768,-2.4557601e-08
1236,1.0049515,-3.8134752e-08,0.010128041,-3.8134752e-08
1235,1.0057646,-5.2624847e-08,0.010277328,-5.2624847e-08
1234,1.0065789,-6.8073044e-08,0.01044454,-6.8073044e-08
1233,1.0073947,-8.4532195e-08,0.010631602,-8.4532195e-08
1232,1.0082117,-1.0206358e-07,0.010839012,-1.0206358e-07
1231,1.00903,-1.2073851e-07,0.011068696,-1.2073851e-07
1230,1.0098497,-1.406377e-07,0.011322029,-1.406377e-07
1229,1.0106707,-1.6185318e-07,0.011600841,-1.6185318e-07
1228,1.0114931,-1.8448839e-07,0.01190691,-1.8448839e-07
1227,1.0123168,-2.0866237e-07,0.012243136,-2.0866237e-07
1226,1.0131418,-2.3450725e-07,0.012611882,-2.3450725e-07
1225,1.0139682,-2.6217251e-07,0.013016137,-2.6217251e-07
1224,1.0147959,-2.9182647e-07,0.013459285,-2.9182647e-07
1223,1.015625,-3.2365681e-07,0.013944809,-3.2365681e-07
1222,1.0164554,-3.5787966e-07,0.014478502,-3.5787966e-07
1221,1.0172872,-3.9473378e-07,0.015063541,-3.9473378e-07
1220,1.0181204,-4.344892e-07,0.015706287,-4.344892e-07
1219,1.0189549,-4.7744719e-07,0.016412745,-4.7744719e-07
1218,1.0197908,-5.2395639e-07,0.017191142,-5.2395639e-07
1217,1.0206281,-5.744003e-07,0.018050418,-5.744003e-07
1216,1.0214667,-6.292148e-07,0.018998443,-6.292148e-07
1215,1.0223067,-6.8888988e-07,0.020047188,-6.8888988e-07
1214,1.0231481,-7.539701e-07,0.021209867,-7.539701e-07
1213,1.0239909,-8.2508663e-07,0.022500175,-8.2508663e-07
1212,1.0248351,-9.0292494e-07,0.023936599,-9.0292494e-07
1211,1.0256807,-9.8825614e-07,0.025536025,-9.8825614e-07
1210,1.0265277,-1.0819303e-06,0.027321644,-1.0819303e-06
1209,1.027376,-1.1848758e-06,0.029320064,-1.1848758e-06
1208,1.0282258,-1.2980799e-06,0.031555794,-1.2980799e-06
1207,1.029077,-1.4226152e-06,0.034065676,-1.4226152e-06
1206,1.0299296,-1.5595307e-06,0.03688242,-1.5595307e-06
1205,1.0307836,-1.7098337e-06,0.040041807,-1.7098337e-06
1204,1.031639,-1.8743661e-06,0.043587105,-1.8743661e-06
1203,1.0324958,-2.0536531e-06,0.047552427,-2.0536531e-06
1202,1.0333541,-2.247644e-06,0.051976077,-2.247644e-06
1201,1.0342138,-2.4553522e-06,0.056876421,-2.4553522e-06
1200,1.0350749,-2.6745079e-06,0.062255844,-2.6745079e-06
1199,1.0359375,-2.9007806e-06,0.068087084,-2.9007806e-06
1198,1.0368015,-3.1272674e-06,0.074285238,-3.1272674e-06
1197,1.0376669,-3.3438569e-06,0.080699236,-3.3438569e-06
1196,1.0385338,-3.5369599e-06,0.087088001,-3.5369599e-06
1195,1.0394022,-3.6898788e-06,0.09313151,-3.6898788e-06
1194,1.040272,-3.7843357e-06,0.098419218,-3.7843357e-06
1193,1.0411432,-3.8031855e-06,0.10251054,-3.8031855e-06
1192,1.0420159,-3.7340746e-06,0.10500385,-3.7340746e-06
1191,1.0428901,-3.5729453e-06,0.10562109,-3.5729453e-06
1190,1.0437657,-3.3259205e-06,0.10428586,-3.3259205e-06
1189,1.0446429,-3.0085646e-06,0.10113293,-3.0085646e-06
1188,1.0455214,-2.6426533e-06,0.096481891,-2.6426533e-06
1187,1.0464015,-2.2517289e-06,0.090757736,-2.2517289e-06
1186,1.0472831,-1.8571056e-06,0.084404205,-1.8571056e-06
1185,1.0481661,-1.4754004e-06,0.07781589,-1.4754004e-06
1184,1.0490506,-1.117765e-06,0.071301542,-1.117765e-06
1183,1.0499367,-7.9036613e-07,0.065075863,-7.9036613e-07
1182,1.0508242,-4.9548017e-07,0.059269681,-4.9548017e-07
1181,1.0517132,-2.3270342e-07,0.053951053,-2.3270342e-07
1180,1.0526037,-1.0894063e-15,0.049132641,-1.0894063e-15
1179,1.0534958,2.0529782e-07,0.044806081,2.0529782e-07
1178,1.0543893,3.8545038e-07,0.040942159,3.8545038e-07
1177,1.0552844,5.4283875e-07,0.037504715,5.4283875e-07
1176,1.056181,6.7993613e-07,0.034448093,6.7993613e-07
1175,1.0570791,7.9913227e-07,0.031733323,7.9913227e-07
1174,1.0579787,9.026419e-07,0.029323077,9.026419e-07
1173,1.0588799,9.9246565e-07,0.027178363,9.9246565e-07
1172,1.0597826,1.0703752e-06,0.025268855,1.0703752e-06
1171,1.0606869,1.1379227e-06,0.023567435,1.1379227e-06
1170,1.0615927,1.1964586e-06,0.022046459,1.1964586e-06
1169,1.0625,1.2471474e-06,0.020686641,1.2471474e-06
1168,1.0634089,1.2909943e-06,0.019466634,1.2909943e-06
1167,1.0643193,1.3288596e-06,0.018372171,1.3288596e-06
1166,1.0652314,1.3614825e-06,0.017387804,1.3614825e-06
1165,1.0661449,1.3894953e-06,0.016500199,1.3894953e-06
1164,1.0670601,1.4134364e-06,0.01570046,1.4134364e-06
1163,1.0679768,1.433767e-06,0.014977421,1.433767e-06
1162,1.0688951,1.450877e-06,0.014324651,1.450877e-06
1161,1.069815,1.4650985e-06,0.013734187,1.4650985e-06
1160,1.0707364,1.4767106e-06,0.013199852,1.4767106e-06
1159,1.0716595,1.4859471e-06,0.012715541,1.4859471e-06
1158,1.0725841,1.4930002e-06,0.012278006,1.4930002e-06
1157,1.0735104,1.4980271e-06,0.011882392,1.4980271e-06
1156,1.0744382,1.5011523e-06,0.011525108,1.5011523e-06
1155,1.0753676,1.5024708e-06,0.011202374,1.5024708e-06
1154,1.0762987,1.5020432e-06,0.010912929,1.5020432e-06
1153,1.0772314,1.4999225e-06,0.010653341,1.4999225e-06
1152,1.0781657,1.4961188e-06,0.010421721,1.4961188e-06
1151,1.0791016,1.490624e-06,0.010216266,1.490624e-06
