wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
635,1.0959597e-05,0,0.028735192,0.014620997,0.020273849,-2.7506236e-20,2.7767684e-06,0.049011384,0.063635367,0.063649768
636,1.1335305e-05,0,0.029625972,0.015142708,0.021141239,-2.9304222e-20,2.9562691e-06,0.050769074,0.065914143,0.065928974
637,1.1412248e-05,0,0.029733342,0.015265479,0.021458099,-3.035633e-20,3.0596667e-06,0.051192723,0.066459816,0.066474667
638,1.1367197e-05,0,0.029523868,0.015224476,0.021545854,-3.1078472e-20,3.1288871e-06,0.051070376,0.06629567,0.066310363
639,1.1131406e-05,0,0.02882254,0.014926887,0.021267591,-3.1250408e-20,3.1417759e-06,0.05009013,0.065017018,0.065031291
640,1.1139474e-05,0,0.028756576,0.014954623,0.021450911,-3.2028404e-20,3.2273245e-06,0.050206821,0.065160677,0.065174855
641,1.1162211e-05,0,0.028731053,0.015000179,0.021661501,-3.2737956e-20,3.3298906e-06,0.050391201,0.065389936,0.065404075
642,1.1279507e-05,0,0.028950528,0.015171144,0.022056366,-3.362378e-20,3.4741515e-06,0.051004822,0.066173915,0.06618817
643,1.1232779e-05,0,0.028750971,0.01511982,0.022130363,-3.392003e-20,3.5804253e-06,0.050878559,0.065995833,0.06601003
644,1.1316691e-05,0,0.028887848,0.015242697,0.022461241,-3.4512088e-20,3.7402982e-06,0.051345573,0.066585277,0.066599615
645,1.0997605e-05,0,0.027999701,0.014821006,0.021987924,-3.3775266e-20,3.7750769e-06,0.049983509,0.064801265,0.064815262
646,1.09535e-05,0,0.027815992,0.014768163,0.022058354,-3.3787098e-20,3.9100817e-06,0.049869554,0.06463421,0.064648242
647,1.0852667e-05,0,0.027490893,0.014637374,0.022011826,-3.3539066e-20,4.0328678e-06,0.049497293,0.064130989,0.064145009
648,1.0517969e-05,0,0.026577679,0.014189702,0.021484206,-3.2489532e-20,4.0717516e-06,0.048055982,0.06224198,0.062255705
649,1.0575274e-05,0,0.026658103,0.014269593,0.021752956,-3.2578728e-20,4.2671755e-06,0.048404493,0.062670276,0.062684238
650,1.1240585e-05,0,0.028268076,0.015168884,0.023282466,-3.446217e-20,4.7290848e-06,0.051542915,0.06670771,0.066722744
651,1.0800861e-05,0,0.02709882,0.014575931,0.022526247,-3.2888516e-20,4.7385907e-06,0.04961714,0.064189152,0.064203805
652,1.1139475e-05,0,0.027883929,0.015032338,0.023391886,-3.3623237e-20,5.0963032e-06,0.051267051,0.066295402,0.066310749
653,1.101789e-05,0,0.027516623,0.014866782,0.02329438,-3.2904119e-20,5.2556796e-06,0.050801786,0.065664718,0.065680146
654,1.0514218e-05,0,0.02619926,0.014184935,0.022380337,-3.1011439e-20,5.2280438e-06,0.048570314,0.062751697,0.062766672
655,9.2307562e-06,0,0.022949338,0.01245078,0.01978112,-2.6842072e-20,4.7828003e-06,0.042721914,0.055169711,0.055183092
