wavelength (nm),SiNx ARC,AlInP window,GaAs emitter,QD,GaAs base,AlInP BSF,Ag mirror,GaAs,Active region,Total
735,1.1125036e-05,0,0.019139451,0.013822474,0.042356766,-7.5359349e-21,0.00011912893,0.061453823,0.075343737,0.075481275
736,1.1150098e-05,0,0.019073626,0.013783662,0.042662623,-5.6766265e-20,0.00012272246,0.061695899,0.075552023,0.07569404
737,1.1056553e-05,0,0.018806407,0.013597663,0.042510522,-1.0633993e-19,0.00012501573,0.061279313,0.074953375,0.075098336
738,1.0764118e-05,0,0.018205494,0.013168709,0.041583597,-1.5330833e-19,0.00012496444,0.059755028,0.073002206,0.073147344
739,1.0929958e-05,0,0.01838182,0.013300558,0.042421602,-2.0712706e-19,0.00013021106,0.060771614,0.074155612,0.074307029
740,1.0834767e-05,0,0.018119457,0.013113802,0.042244489,-2.5707342e-19,0.0001323806,0.060335309,0.07353511,0.073689171
741,1.0795333e-05,0,0.017952642,0.012995068,0.042278959,-3.0828173e-19,0.00013519691,0.060206049,0.073289584,0.073446972
742,1.1013424e-05,0,0.018213535,0.013184967,0.04332148,-3.6814273e-19,0.00014129512,0.061512044,0.074789546,0.074954004
743,1.1078503e-05,0,0.018219939,0.013189776,0.043763147,-4.245488e-19,0.00014551443,0.061963108,0.075247648,0.0754169
744,1.1060315e-05,0,0.018090199,0.013095255,0.04387271,-4.7811868e-19,0.00014864745,0.06194606,0.075136941,0.075309626
745,1.1048587e-05,0,0.017972575,0.013008843,0.044003295,-5.3179303e-19,0.00015184681,0.061962062,0.075066737,0.075242826
746,1.1059647e-05,0,0.017893362,0.012949681,0.04422037,-5.8638177e-19,0.00015534338,0.062102829,0.075147985,0.075327707
747,1.1002527e-05,0,0.017705626,0.012811546,0.044159732,-6.368038e-19,0.00015784833,0.061857268,0.074762539,0.074944625
748,1.0975032e-05,0,0.017567725,0.012709154,0.044212193,-6.8805759e-19,0.0001607286,0.06177441,0.074574955,0.074759709
749,1.0972107e-05,0,0.017470894,0.012636254,0.044358538,-7.4008995e-19,0.00016393118,0.061826263,0.074550889,0.074738544
750,1.0935212e-05,0,0.017321833,0.012525463,0.044362207,-7.8888708e-19,0.00016658197,0.06168295,0.074292568,0.074482346
751,1.0985114e-05,0,0.017311736,0.012515132,0.044713261,-8.4310964e-19,0.00017052206,0.062025683,0.074620432,0.074813644
752,1.0940571e-05,0,0.01715438,0.01239842,0.044674935,-8.8907791e-19,0.00017295703,0.061831437,0.074303228,0.074498004
753,1.10948e-05,0,0.017309512,0.012507709,0.045444487,-9.5051342e-19,0.00017852051,0.062757237,0.075332267,0.075531943
754,1.1079164e-05,0,0.017200286,0.012426216,0.045514678,-9.9669433e-19,0.00018134079,0.062718875,0.075204127,0.075405435
755,1.0957168e-05,0,0.016928758,0.012227872,0.045140866,-1.0312887e-18,0.00018232972,0.062073722,0.074350737,0.074551473
